_id,timestamp,threshold,detected_count,news_titles,_source_database
68bade05921b108a550d0437,2025-09-05T12:56:37.295220,0.75,20,"[""九三阅兵女民兵方队领队是一名乡长"", ""电影《731》预售票房破1000万"", ""金正恩乘专列离京返程"", ""男子诋毁九三阅兵被拘"", ""泰国新任总理出炉"", ""赖岳谦：解放军想打什么就有什么"", ""历史不会被忘记 向老英雄致敬"", ""苑举正：想做奴隶不要在中国土地上"", ""男子玩毒蛇还挂脖展示遭咬伤后身亡"", ""普京回应中俄印“龙熊象”比喻"", ""中方回应特朗普将国防部改战争部"", ""金正恩多边外交首秀吸睛"", ""外媒酸中国装备没实战 评论区翻车"", ""古巴国家主席看到满墙华为笑了"", ""亲爱的战友们 这盛世如你们所愿"", ""普京：想向乌克兰派兵？敢来就打"", ""列车突然广播 全车人为他们鼓掌"", ""#泰国新总理阿努廷是什么来头#"", ""东风-5C全时戒备意味什么"", ""俄罗斯：绝不接受外国军队在乌部署""]",zhimo
68bbfb314a02996e94f1d064,2025-09-06T09:13:21.480268,0.75,3,"[""耿爽：这样的美国不受欢迎"", ""村干部回应男子被眼镜王蛇咬死"", ""易会满任期内3000点20次失守""]",zhimo
68c2a1cd6bfe0d19d56d166f,2025-09-11T10:17:49.073544,0.75,13,"[""王辰被免去中国工程院副院长职务"", ""于朦胧名下所有持股公司已注销"", ""特朗普就盟友被枪杀发表全国讲话"", ""成都地铁误会偷拍案维持原判"", ""特朗普政治盟友遭枪杀反映了什么"", ""薛飞淘汰张本智和"", ""文物事业高质量发展迈出坚实步伐"", ""于朦胧新剧3个月前杀青"", ""A股大突破下牛市洗盘是否结束"", ""直击河南多地暴雨"", ""于朦胧好友：你的笑容定格在记忆中"", ""NASA惊人发现：火星或曾存在远古生命"", ""于朦胧""]",zhimo
